753.36,2405.3,3081.5,3865.9,4280.8
812.41,2203.2,3121.1,3598.4,4116.2
827.9,2176.6,3047.9,3523,4095.6
832.05,2090.4,2807.2,3303.3,4184.8
882.31,2097.5,2636.9,3078,4321.1
906.89,2121.7,2756.5,3352,4438.4
859.69,2132.6,3194.9,3910.5,4651.9
828.69,2191.2,3114.2,3960,4617.5
847.56,2149.4,2675.7,3819.2,4755.8
828.69,2035.5,2613.5,3929.9,4872.3
780.9,2053.7,2570,3938,4816.4
565.33,1492.4,2280.7,3717.8,4797.4
328.1,859.41,2177.1,3542.4,4839.1
281.49,894.16,2402.2,3270.1,4262.3
249.9,941.26,2159.9,2798.8,3270.1
234.79,957.05,1605,2312.8,2853.1
211,941.64,1320,2126.9,2785.3
430.72,1165,1748.6,2443.6,2970.9
555.77,1490.9,2188,2786.6,3565.1
653.46,1443.2,2068,3076.8,4250.8
766.67,1628.9,2238.3,3280.1,4369.3
648.79,1884,2612.6,3391,4334.6
640.31,1773.9,2614.4,3120.9,4325.5
671.8,1784.5,2654.5,3472.5,4526.9
853.41,1800.8,2784.8,4174.8,4851.6
668.49,1267.9,2322.5,3605.5,4797.6
254.64,781.11,1816.7,2852.9,4456.7
206.95,878.17,1862.7,2780.5,4464.6
361.59,937.59,1930,2766.2,4812.1
492.79,1423.8,2238.6,3513.3,4793.6
472.95,2026.3,2716.9,4274.3,4734.6
461.2,2125,2967.9,4195.7,4630.2
499.31,2125,3051.1,4180,4608.5
497.23,2233.1,2946.8,3790.4,4652.9
434.05,2050.7,2566,3579.6,4555.3
437.41,1992.9,2616.8,3684.6,4334
472.16,2014.4,2949.6,3686.3,4218.4
453.59,1912.3,2964.7,3773.6,4134.7
205.54,1232.8,2502.2,3360.6,3949.6
177.26,1173.7,2177.3,2929.7,3797.8
370.85,2161.6,2652.3,3273,3837.7
371.15,2247.4,2964.8,3617.8,4188.4
362.95,2109.8,2969.1,3594,4421.2
359.59,2086,2829.7,3574.7,4298.4
359.41,1407.1,2328.6,3068.7,3839.4
367,749.51,1953,2558.6,3592.6
517.59,1290.7,2280.8,3009.6,3957.3
648.79,1750.7,2632.3,3565,4300.5
528.72,1695,2709.7,3698.4,4579
383.59,1590.8,2784.8,3630.5,4785.4
316.86,1081.6,2084,3167,4186.7
323.81,1140.3,2082.6,3185.9,3883.8
428.05,1549.3,2828.8,3578,4473
515.31,1666.5,2827.2,3501.9,4590.9
545.91,2359.5,3263.1,3795.4,4646
528.08,2604.3,3325.8,4188,4906.2
472.79,2229.4,2945,3772.6,4650.8
533.15,1899.9,2636.9,3145.4,4234.5
548.06,1798,2392.9,3150.7,4199.7
491.8,1956.1,2701.7,3431.8,4621.7
492.2,1874,2575.8,3378.1,4613.4
529.82,2027.9,2911.1,3649.8,4486.9
513.16,1859.3,3348.1,3872.1,4599.9
517.64,1363.8,3137.9,3664,4507.8
552.07,1523.1,3319.1,3842.9,4504.3
530.91,1775.6,3142.5,3620,4240.9
524.29,1825.2,2898,3248.9,3977
488.1,1797,2936.5,3423.2,4140.8
487.9,1857.9,2912.2,3432.2,4240.4
575.85,1880.1,2764.1,3533.5,4209.8
572.84,1836,2417.2,3525.5,4155.1
450.19,1424.6,2003.5,3102.1,4069.9
471.24,992,1771.7,2883.8,3930.2
523,1091,2068.5,3274.7,4142.6
869.61,1743.4,3017.6,3760.9,4478.3
952.22,1764.3,2999.5,3382.3,4173.9
598.96,1107.4,2379.1,3040.4,4207.9
542.9,1629.2,2763.5,3334.7,4412.3
547,2227.3,3164.2,3531,4320
569.91,1612.4,3072.1,3607.5,4186.9
555.97,1102.9,2740.3,3344.8,4165
538.91,1290.9,2484,3014.7,4182.2
543.5,1375,2168.1,2734.5,4210.9
511.79,1599.7,2079.8,2653.6,4400.9
500,1721.9,2336,2978.8,4193.9
500,1602,2336,3016.3,3933.9
500,1792.1,2587.5,3185.8,3880.5
442.96,1923.8,2852,3512.6,3877.5
421.02,1844.2,2665.3,3423.4,4037
